Data,Receita,Custo,Custo Ads,Custo Vendas,Leads,Conversoes,Clientes,Canal,Campanha
2024-01-01,150000,45000,25000,20000,500,125,100,Google,Brand
2024-01-02,135000,42000,22000,20000,480,120,96,Meta,Remarketing
2024-01-03,165000,48000,28000,20000,550,138,110,Google,Performance
2024-01-04,142000,44000,24000,20000,490,123,98,LinkedIn,B2B
2024-01-05,158000,46000,26000,20000,520,130,104,Google,Brand
2024-01-06,175000,50000,30000,20000,580,145,116,Meta,Lookalike
2024-01-07,168000,49000,29000,20000,560,140,112,Google,Performance
2024-01-08,145000,43000,23000,20000,485,121,97,TikTok,Awareness
2024-01-09,182000,52000,32000,20000,600,150,120,Google,Brand
2024-01-10,155000,45000,25000,20000,510,128,102,Meta,Conversao
2024-01-11,162000,47000,27000,20000,535,134,107,Google,Performance
2024-01-12,148000,44000,24000,20000,495,124,99,LinkedIn,Lead Gen
2024-01-13,172000,49000,29000,20000,570,143,114,Meta,Remarketing
2024-01-14,185000,53000,33000,20000,615,154,123,Google,Brand
2024-01-15,178000,51000,31000,20000,590,148,118,Google,Performance
2024-01-16,152000,45000,25000,20000,505,126,101,Meta,Lookalike
2024-01-17,188000,54000,34000,20000,625,156,125,Google,Brand
2024-01-18,165000,48000,28000,20000,545,136,109,LinkedIn,B2B
2024-01-19,195000,56000,36000,20000,650,163,130,Meta,Conversao
2024-01-20,172000,49000,29000,20000,575,144,115,Google,Performance
2024-01-21,158000,46000,26000,20000,525,131,105,TikTok,Awareness
2024-01-22,202000,58000,38000,20000,670,168,134,Google,Brand
2024-01-23,185000,53000,33000,20000,620,155,124,Meta,Remarketing
2024-01-24,168000,48000,28000,20000,555,139,111,LinkedIn,Lead Gen
2024-01-25,198000,57000,37000,20000,660,165,132,Google,Performance
2024-01-26,175000,50000,30000,20000,580,145,116,Meta,Lookalike
2024-01-27,205000,59000,39000,20000,680,170,136,Google,Brand
2024-01-28,188000,54000,34000,20000,625,156,125,Meta,Conversao
2024-01-29,178000,51000,31000,20000,590,148,118,Google,Performance
2024-01-30,210000,60000,40000,20000,700,175,140,Google,Brand
2024-01-31,195000,56000,36000,20000,650,163,130,Meta,Remarketing
