Métrica,MetaAds,GoogleAds,CRM,Valor,Unnamed: 5,Unnamed: 6,Unnamed: 7
Impressões dos Anúncios,50890550,11458080,,62348630,,,
Visitantes no site,,,,1421300,,,
Cliques no Anúncio,308738,213370,,522108,,,
Leads Captados pelo tráfego pago ,208,138,,346,,,
Leads Cadastrados no CRM,,,2158,2158,,,
Leads Convertidos - Clientes que contrataram o empréstimo,,,499,499,,,
Leads Perdidos - Interessados que optaram por não contratar o empréstimo,,,1659,1659,,,
Taxa de conversão Leads Atendidos  → Clientes  que contrataram o empréstimo(%),,,,0.2312326228,,,
Custo de Tráfego Pago: Soma dos investimentos em anúncios do Google Ads e Meta Ads.,1103130.2,289683.9,,1392814.1,,,
Custo por Aquisição de LEAD por tráfego pago (CPA),5303.510577,2099.158696,,4025.474277,,,
Taxa de Conversão de Visitantes do site em Leads,,,,0.001518328291,,,
Taxa de Conversão de Visitantes do site em Clientes ,,,,0.000351087033,,,
Click-through-rate (CTR) (%),0.006066705901,0.01862179353,,0.00837400918,,,
Receita Gerada / Receita total,,,,9735383.85,,,
Lucro líquido,,,,8342569.75,,,
Margem liquida ,,,,0.8569328009,,,
Retorno sobre Investimento em Ads (ROAS),,,,6.989722354,,,
Tempo médio para conversão (dias),,,,9.074148297,,,
Ticket médio por cliente,,,,19509.78727,,,
Life Time Value (LTV),,,,19509.78727,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Motivos de perda de clientes/Vendedor,VENDEDOR A ,VENDEDOR B,VENDEDOR C,VENDEDOR D,VENDEDOR E,SOMA ,📌 Isso permite direcionar treinamentos e ajustar a abordagem comercial de forma personalizada.
Não retornou contato,265,242,264,267,266,1304,
Não tem interesse,24,11,19,12,15,81,
Outros,10,8,7,9,4,38,
Preço alto,31,24,20,34,27,136,
Vai deixar para outro momento,23,17,16,21,13,90,
Vai fechar com a concorrência,3,1,3,3,,10,
,,,,,,,
Taxa do motivo  de perda de clientes/Vendedor,VENDEDOR A ,VENDEDOR B,VENDEDOR C,VENDEDOR D,VENDEDOR E,SOMA ,
Não retornou contato,0.15973478,0.1458710066,0.1591320072,0.1609403255,0.1603375527,0.7860156721,
Não tem interesse,0.01446654611,0.006630500301,0.01145268234,0.007233273056,0.00904159132,0.04882459313,
Outros,0.006027727547,0.004822182037,0.004219409283,0.005424954792,0.002411091019,0.02290536468,
Preço alto,0.01868595539,0.01446654611,0.01205545509,0.02049427366,0.01627486438,0.08197709464,
Vai deixar para outro momento,0.01386377336,0.01024713683,0.009644364075,0.01265822785,0.007836045811,0.05424954792,
Vai fechar com a concorrência,0.001808318264,0.0006027727547,0.001808318264,0.001808318264,0,0.006027727547,
,,,,,,1,
,,,,,,,
,,,,,,,
,,,,,,,
,VENDEDOR A ,VENDEDOR B,VENDEDOR C,VENDEDOR D,VENDEDOR E,SOMA ,
Receita por Vendedor ,2023026.9,2068453.65,1797927.3,1880748,1965228,9735383.85,
Leads Recebidos por Vendedor,460,407,422,441,428,2158,
Conversão por vendedor ,104,104,93,95,103,499,
Leads Perdidos por vendedor,356,303,329,346,325,1659,
Taxa de Conversão de LEADS em CLIENTES ,0.2260869565,0.2555282555,0.2203791469,0.2154195011,0.2406542056,0.2312326228,
Receita Média por Vendedor (Ticket Médio),19452.18173,19888.9774,19332.55161,19797.34737,19079.8835,19509.78727,
Percentual de Leads Perdidos por Vendedor (%),0.7739130435,0.7444717445,0.7796208531,0.7845804989,0.7593457944,0.7687673772,
Receita Total vs. Leads Recebidos,4397.884565,5082.1957,4260.491232,4264.734694,4591.654206,4511.299282,
Tempo médio para conversão (dias),10.90384615,10.63461538,10.05376344,5.547368421,8.019417476,9.074148297,
,,,,,,,
,,,,,,,
Numero total de Vendedores,5,,,,,,
Média de Leads recebido por vendedor,431.6,,,,,,
Média de Conversão de Leads por vendedor,0.2312326228,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Ranking de Performance dos Vendedores,,,,,,,
Maior taxa de conversão.,VENDEDOR B,,,,,,
Menor percentual de leads perdidos.,VENDEDOR B,,,,,,
Maior ticket médio.,VENDEDOR B,,,,,,
Maior receita total.,VENDEDOR B,,,,,,
Menor média (dias) para conversão ,VENDEDOR D,,,,,,
Isso ajuda a identificar os melhores vendedores e aqueles que precisam de suporte.,,,,,,,
,,,,,,,
Menor taxa de conversão.,VENDEDOR D,,,,,,
Maior percentual de leads perdidos.,VENDEDOR D,,,,,,
Menor ticket médio.,VENDEDOR E,,,,,,
Menor receita total.,VENDEDOR C,,,,,,
Maior média (dias) para conversão ,VENDEDOR A ,,,,,,
,,,,,,,
,,,,,,,
Leads Ativos para Follow-up,1530,,,,,,
Não retornou contato,1304,,,,,,
Preço alto,136,,,,,,
Vai deixar para outro momento,90,,,,,,
